jdb,vrad,svrad
55712.289986, -0.001629, 0.000666
55713.045051, 0.000095, 0.000594
55713.280269, 0.000861, 0.000594
55737.983898, -0.000563, 0.000594
55738.060209, 0.000305, 0.000594
55738.147212, -0.000563, 0.000673
55738.971208, -0.001225, 0.000679
55739.056458, -0.002119, 0.000594
55739.141502, -0.002943, 0.000599
55739.980599, -0.002760, 0.000714
55740.063697, -0.001829, 0.000647
55740.150841, -0.003408, 0.000634
55740.980629, -0.004283, 0.000634
55741.057039, -0.002331, 0.000707
55741.144535, -0.002717, 0.000622
55741.992276, -0.001377, 0.000693
55742.080119, -0.002717, 0.000679
55742.157338, -0.002398, 0.000659
55742.981312, -0.000818, 0.000578
55743.068970, 0.000087, 0.000659
55743.150512, -0.000067, 0.000659
55745.982914, 0.000189, 0.000578
55746.071925, 0.000436, 0.000578
55746.155987, -0.001055, 0.000605
55746.983670, -0.001953, 0.000599
55747.112348, -0.001822, 0.000594
55747.183292, -0.002798, 0.000599
55748.000312, -0.002976, 0.000594
55748.087017, -0.004550, 0.000594
55748.172957, -0.005273, 0.000588
55753.974713, -0.001021, 0.000673
55754.078931, -0.002082, 0.000721
55754.988786, -0.001988, 0.000640
55755.074095, -0.002077, 0.000640
55756.002854, -0.003154, 0.000647
55756.072286, -0.002029, 0.000714
55756.991560, -0.003047, 0.000640
55757.062597, -0.001286, 0.000634
55757.990451, -0.002362, 0.000640
55758.083934, -0.003195, 0.000628
55758.987481, -0.004159, 0.000634
55759.090664, -0.004692, 0.000640
55759.992745, -0.006165, 0.000640
55760.062286, -0.003429, 0.000594
55760.983412, -0.004216, 0.000588
55761.074061, -0.005783, 0.000594
55761.970641, -0.006063, 0.000588
55762.049181, -0.005520, 0.000583
55762.976185, -0.002286, 0.000588
55763.112832, -0.003315, 0.000594
55763.977246, -0.001851, 0.000599
55764.105146, -0.001477, 0.000599
55764.977023, -0.000807, 0.000679
55765.109227, -0.001246, 0.000605
55765.987880, -0.000220, 0.000679
55766.112810, -0.000623, 0.000804
55766.999443, -0.000577, 0.000714
55767.106555, 0.003024, 0.000693
55767.976829, 0.002136, 0.000686
55768.079539, 0.001697, 0.000686
55769.035752, 0.001884, 0.000686
55769.115414, 0.000375, 0.000714
55769.988317, 0.000932, 0.000693
55770.160412, -0.000598, 0.000707
55771.097425, -0.002201, 0.000700
55771.118958, -0.002335, 0.000707
55771.131956, -0.002240, 0.000766
55772.025930, -0.003108, 0.000700
55772.047454, -0.003325, 0.000700
55772.069160, -0.003029, 0.000693
55772.090316, -0.004846, 0.000693
55772.111716, -0.004145, 0.000751
55772.132954, -0.003541, 0.000693
55790.986813, -0.007205, 0.000766
55791.059485, -0.010085, 0.000751
55792.060434, -0.008952, 0.000751
55792.995216, -0.007779, 0.000659
55793.074687, -0.009187, 0.000736
55793.980464, -0.007520, 0.000743
55794.055305, -0.007864, 0.000751
55794.982748, -0.007752, 0.000673
55795.062426, -0.008180, 0.000743
55795.968925, -0.004263, 0.000736
55796.969285, -0.004543, 0.000758
55797.060166, -0.003953, 0.000743
55798.967105, 0.000039, 0.000673
55799.061619, 0.001181, 0.000751
55799.991218, 0.002799, 0.000673
55800.074184, 0.002664, 0.000686
55800.968896, 0.003968, 0.000751
55801.053963, 0.005478, 0.000758
56017.214756, 0.003099, 0.000751
56017.377352, 0.003721, 0.000743
56018.191657, -0.000165, 0.000743
56018.381514, 0.000546, 0.000743
56019.180565, 0.001343, 0.000707
56019.377615, 0.001313, 0.000714
56020.190566, 0.003890, 0.000766
56022.173756, 0.002784, 0.000773
56026.235532, 0.005819, 0.000714
56026.317456, 0.005362, 0.000729
56027.280467, 0.002902, 0.000789
56027.355960, 0.002354, 0.000700
56028.215363, -0.000404, 0.000693
56028.355078, 0.001910, 0.000789
56029.236632, 0.000152, 0.000766
56034.175048, 0.000572, 0.000693
56034.277279, -0.000980, 0.000700
56035.135165, -0.003051, 0.000693
56035.311084, -0.002040, 0.000773
56036.205751, -0.001423, 0.000707
56036.309127, -0.001754, 0.000673
56039.137787, 0.003504, 0.000673
56039.305957, 0.003066, 0.000647
56040.205608, 0.006430, 0.000653
56040.318599, 0.004235, 0.000714
56041.250300, 0.004503, 0.000640
56041.343989, 0.005352, 0.000640
56043.156252, 0.006799, 0.000721
56048.208902, -0.004256, 0.000721
56048.336442, -0.005219, 0.000714
56049.168842, -0.002690, 0.000634
56049.301071, -0.001472, 0.000647
56050.121471, 0.000836, 0.000647
56050.275755, 0.001511, 0.000640
56054.105761, 0.004234, 0.000647
56054.231455, 0.002712, 0.000647
56055.092424, 0.001687, 0.000721
56055.220391, 0.000454, 0.000758
56056.257436, -0.001112, 0.000707
56057.205865, -0.006415, 0.000679
56057.333280, -0.005923, 0.000686
56058.142280, -0.005673, 0.000751
56058.351311, -0.005955, 0.000707
56059.115564, -0.003036, 0.000751
56060.080964, -0.000634, 0.000714
56060.321753, 0.000582, 0.000736
56061.121450, 0.005910, 0.000693
56061.332814, 0.003958, 0.000693
56062.076828, 0.007259, 0.000700
56062.303463, 0.008263, 0.000700
56063.093120, 0.010739, 0.000751
56063.332234, 0.009935, 0.000673
56064.075273, 0.008126, 0.000679
56064.331552, 0.009934, 0.000693
56066.072226, 0.005241, 0.000693
56066.331780, 0.005077, 0.000773
56067.064538, 0.003173, 0.000686
56067.324173, 0.001806, 0.000673
56068.095921, 0.001501, 0.000666
56068.316490, 0.004395, 0.000653
56070.064190, 0.002463, 0.000679
56070.302071, 0.003954, 0.000659
56072.135652, 0.000305, 0.000653
56072.206062, 0.000306, 0.000673
56073.169167, -0.001840, 0.000721
56078.144914, -0.001896, 0.000666
56078.204926, -0.000560, 0.000666
56080.050119, -0.000458, 0.000673
56083.162549, -0.001454, 0.000659
56083.212776, -0.001215, 0.000659
56084.235450, -0.001563, 0.000653
56084.272303, -0.002435, 0.000653
56086.173553, -0.000444, 0.000653
56086.275758, -0.000544, 0.000721
56087.064638, -0.001710, 0.000721
56087.172744, -0.002178, 0.000659
56088.155000, -0.002820, 0.000653
56088.205942, -0.000578, 0.000673
56089.194541, -0.000637, 0.000743
56089.268876, -0.000836, 0.000659
56091.195163, -0.000360, 0.000653
56091.262023, -0.001057, 0.000647
56093.070887, -0.001028, 0.000647
56093.223355, -0.001798, 0.000659
56098.050735, -0.004170, 0.000686
56098.238413, -0.004757, 0.000666
56099.107152, -0.000485, 0.000736
56099.232179, 0.001990, 0.000721
56102.031450, 0.007688, 0.000721
56102.999894, 0.004740, 0.000743
56103.126523, 0.004051, 0.000659
56103.982991, 0.005167, 0.000666
56104.171309, 0.004610, 0.000659
56104.967062, 0.003681, 0.000714
56105.130449, 0.005135, 0.000647
56105.970467, 0.003215, 0.000640
56106.209800, 0.005245, 0.000714
56106.972620, 0.004367, 0.000714
56107.129233, 0.005652, 0.000640
56111.185530, 0.008271, 0.000640
56112.050203, 0.012244, 0.000640
56112.958714, 0.012426, 0.000640
56113.090998, 0.013169, 0.000714
56114.960835, 0.008765, 0.000640
56115.070177, 0.008794, 0.000714
56116.001472, 0.006755, 0.000640
56116.099844, 0.004335, 0.000647
56117.014555, 0.001584, 0.000659
56117.145300, 0.000391, 0.000721
56117.970567, -0.001449, 0.000721
56118.109603, -0.003445, 0.000647
56118.989229, -0.004410, 0.000647
56119.047464, -0.005244, 0.000640
56120.001296, -0.005127, 0.000714
56120.125856, -0.006335, 0.000647
56120.994684, -0.005646, 0.000714
56121.999527, -0.006999, 0.000673
56122.129449, -0.006271, 0.000758
56123.984501, -0.000839, 0.000679
56124.083289, -0.001175, 0.000659
56124.986366, -0.000198, 0.000666
56125.118655, 0.001943, 0.000666
56126.000631, 0.001892, 0.000653
56126.102371, 0.003938, 0.000653
56126.979142, 0.003752, 0.000659
56127.104793, 0.003835, 0.000647
56130.012270, 0.002649, 0.000736
56130.101051, 0.001574, 0.000736
56131.030865, 0.001755, 0.000721
56131.110036, 0.002069, 0.000729
56150.007496, 0.007708, 0.000729
56150.096556, 0.007036, 0.000729
56151.970793, 0.010514, 0.000736
56152.071122, 0.011056, 0.000729
56152.971178, 0.010178, 0.000729
56153.080065, 0.008407, 0.000666
56153.974558, 0.004594, 0.000707
56154.059883, 0.004845, 0.000693
56154.971761, 0.004342, 0.000773
56155.071218, 0.004551, 0.000693
56157.040631, 0.004604, 0.000758
56157.966833, 0.004937, 0.000721
56158.974542, 0.006763, 0.000751
56159.063098, 0.006642, 0.000707
56159.973283, 0.006958, 0.000700
56160.054488, 0.006283, 0.000781
56322.372189, 0.011265, 0.000693
56335.364474, -0.001158, 0.000673
56339.362045, 0.013003, 0.000673
56345.347095, 0.004308, 0.000751
56366.341323, 0.000137, 0.000686
56377.355803, 0.015683, 0.000766
56379.362324, 0.011956, 0.000751
56380.361300, 0.007723, 0.000679
56388.352424, 0.004325, 0.000686
56399.295548, 0.010678, 0.000714
56405.325364, 0.015507, 0.000653
56407.187366, 0.016678, 0.000659
56409.191537, 0.015554, 0.000729
56411.209227, 0.013700, 0.000729
56436.173324, 0.008813, 0.000729
56436.238780, 0.007665, 0.000721
56437.117719, 0.008448, 0.000653
56438.083218, 0.008698, 0.000736
56438.186546, 0.008866, 0.000721
56443.118131, 0.005924, 0.000736
56443.203181, 0.002525, 0.000673
56444.155435, 0.004040, 0.000729
56444.270883, 0.005516, 0.000714
56453.258871, 0.010661, 0.000714
56454.175770, 0.008350, 0.000729
56457.200823, 0.009422, 0.000666
56457.266373, 0.008207, 0.000653
56458.065171, 0.008399, 0.000729
56458.180114, 0.008828, 0.000736
56459.045821, 0.007179, 0.000736
56459.271353, 0.005500, 0.000721
56460.018528, 0.004184, 0.000721
56460.249866, 0.006215, 0.000659
56460.981848, 0.006864, 0.000647
56461.114849, 0.007324, 0.000714
56461.219857, 0.006527, 0.000714
56462.010625, 0.008870, 0.000634
56462.220282, 0.009264, 0.000714
56467.043121, 0.011270, 0.000647
56467.110756, 0.009404, 0.000714
56468.062374, 0.007652, 0.000653
56468.203531, 0.007717, 0.000721
56469.068158, 0.005729, 0.000714
56469.133466, 0.005716, 0.000707
56470.039979, 0.006269, 0.000721
56470.146416, 0.003800, 0.000714
56471.077911, 0.002444, 0.000721
56471.172276, 0.004069, 0.000714
56472.058120, 0.000398, 0.000714
56472.162458, -0.000103, 0.000714
56478.006362, 0.010142, 0.000653
56478.157954, 0.008823, 0.000653
56479.019411, 0.005415, 0.000729
56479.950325, 0.003436, 0.000666
56480.159973, -0.000261, 0.000640
56480.952696, -0.000769, 0.000721
56481.183344, -0.001841, 0.000659
56481.955030, -0.000514, 0.000736
56482.161644, 0.001118, 0.000673
56483.973120, -0.000847, 0.000659
56484.147277, -0.001027, 0.000729
56484.965354, 0.000327, 0.000736
56485.159133, -0.000614, 0.000736
56485.997049, 0.005863, 0.000666
56486.124518, 0.003199, 0.000666
56487.010409, 0.006056, 0.000659
56487.132631, 0.010344, 0.000736
56488.030021, 0.012328, 0.000751
56488.103906, 0.012920, 0.000736
56489.006003, 0.015401, 0.000666
56490.032315, 0.011730, 0.000653
56490.182323, 0.011139, 0.000751
56491.043754, 0.007409, 0.000743
56491.147454, 0.007214, 0.000743
56491.992583, 0.004189, 0.000751
56492.120233, 0.003534, 0.000751
56492.964264, 0.001146, 0.000679
56493.129605, 0.001557, 0.000659
56493.970272, 0.001686, 0.000673
56494.143082, 0.002891, 0.000679
56494.962485, 0.000833, 0.000736
56495.152574, 0.002528, 0.000659
56495.956111, 0.004360, 0.000729
56496.123150, 0.002964, 0.000666
56496.956519, 0.002781, 0.000653
56497.128528, 0.004569, 0.000666
56497.957938, 0.004491, 0.000743
56498.104464, 0.005308, 0.000673
56498.956603, 0.008203, 0.000729
56499.109879, 0.007146, 0.000659
56499.959005, 0.010315, 0.000773
56500.089615, 0.010435, 0.000707
